3H-Ligand,Batch Number,Specific Activity (Ci/mmol),uCi/uL,Notes
3H-5HT,0064-0323,33.2,1,
3H-5-CT,0080-0423,112.4,1,
3H-Ang II,0119-0621,60,1,
3H-CGP12177,0168-0924,51.4,1,
3H-Citalopram,0199-0925,80,1,
3H-CP55940,0075-0216,175,1,
3H-DADLE,0016-0125,49.8,1,
3H-DAMGO,0045-0225,49.5,1,
3H-Dofetilide,XXXX-XXXX,80,1,
3H-DTG,0143-0625,37.8,1,
3H-Flunitrazepam,0131-0625,76.5,1,
3H-GR125743,0120-0724,83,1,
3H-Histamine,0147-0822,16.4,1,
3H-Ifenprodil,0097-0524,37.6,1,
3H-Ketanserin,0129-0724,22.8,1,
3H-LSD,0196-0925,82.7,1,
3H-Mesulergine,0064-0325,82.2,1,
3H-MethylHistamine,0190-1024,75.7,1,
3H-Methylspiperone,0152-0725,81.1,1,
3H-MK-801,0241-1222,29.5,1,
3H-Muscimol,0116-0622,10,1,
3H-Naloxone,0038-0225,71.4,1,
3H-Nisoxetine,0179-0825,86.3,1,
3H-Nitrendipine,0072-0323,82.2,1,
3H-Nociceptin,0073-0325,121,0.1,10x Normal Ligand Volume
3H-Oxytocin,0011-0123,48.5,1,
3H-Pentazocine,0076-0325,28.5,1,
3H-PK11195,0071-0325,71.7,1,
3H-Prazosin,0140-0625,76.9,1,
3H-Pyrilamine,0255-1222,20,1,
3H-QNB,0060-0325,31.8,1,
3H-Quisqualic Acid,0097-0523,30,1,
3H-Rauwolscine,0184-0825,74,1,
3H-SB-207145,0029-0224,60,0.5,2x Normal Ligand Volume
3H-SCH23390,0115-0624,82,1,
3H-SNAP84947,0102-0624,28,1,
3H-Tropisetron,0037-0225,79,1,
3H-U69593,0049-0225,46.7,1,
3H-Vasopressin,0079-0325,69.2,1,
3H-Way100635,0223-1122,83,1,
3H-Win35428,0211-0925,83,1,
3H-ZM241385,0044-0322,50,1,
