Row	Column	Barcode
A	1	replace
A	2	replace
A	3	replace
A	4	replace
A	5	replace
A	6	replace
A	7	replace
A	8	replace
A	9	replace
A	10	replace
A	11	replace
A	12	replace
B	1	replace
B	2	replace
B	3	replace
B	4	replace
B	5	replace
B	6	replace
B	7	replace
B	8	replace
B	9	replace
B	10	replace
B	11	replace
B	12	replace
C	1	replace
C	2	replace
C	3	replace
C	4	replace
C	5	replace
C	6	replace
C	7	replace
C	8	replace
C	9	replace
C	10	replace
C	11	replace
C	12	replace
D	1	replace
D	2	replace
D	3	replace
D	4	replace
D	5	replace
D	6	replace
D	7	replace
D	8	replace
D	9	replace
D	10	replace
D	11	replace
D	12	replace
E	1	replace
E	2	replace
E	3	replace
E	4	replace
E	5	replace
E	6	replace
E	7	replace
E	8	replace
E	9	replace
E	10	replace
E	11	replace
E	12	replace
F	1	replace
F	2	replace
F	3	replace
F	4	replace
F	5	replace
F	6	replace
F	7	replace
F	8	replace
F	9	replace
F	10	replace
F	11	replace
F	12	replace
G	1	replace
G	2	replace
G	3	replace
G	4	replace
G	5	replace
G	6	replace
G	7	replace
G	8	replace
G	9	replace
G	10	replace
G	11	replace
G	12	replace
H	1	replace
H	2	replace
H	3	replace
H	4	replace
H	5	replace
H	6	replace
H	7	replace
H	8	replace
H	9	replace
H	10	replace
H	11	replace
H	12	replace
